"","NAME","TEAM_abb","GP","MPG","ORPM","DRPM","WINS","POSITION","RPM","TEAM_full","SALARY","MSP","y","GP_c","MPG_c"
"242","DeAndre Liggins","CLE/DAL",62,12.5,-3.13,0.76,0.37," SG",-2.37,"LA Clippers",1577230,"True",1,3.83055555555556,-9.02444444444444
"243","Sergio Rodriguez","PHI",68,22.3,-0.66,-2.11,0.35," PG",-2.77,"Philadelphia 76ers",8e+06,"True",1,9.83055555555556,0.775555555555556
"244","Shaun Livingston","GS",76,17.7,-2.55,-0.19,0.33," PG",-2.74,"Golden State Warriors",5782450,"True",1,17.8305555555556,-3.82444444444445
"245","KJ McDaniels","HOU/BKN",49,10.3,-1.54,-0.68,0.3," SG",-2.22,"Brooklyn Nets",3333333,"True",1,-9.16944444444444,-11.2244444444444
"246","Trey Lyles","UTAH",71,16.3,-2.48,-0.23,0.29," PF",-2.71,"Utah Jazz",2340600,"True",1,12.8305555555556,-5.22444444444444
"247","Tyler Zeller","BOS",51,10.3,-2.5,0.2,0.28," C",-2.3,"Boston Celtics",8e+06,"True",1,-7.16944444444444,-11.2244444444444
"248","Fred VanVleet","TOR",37,7.9,-2.44,0.83,0.28," PG",-1.61,"Toronto Raptors",1312611,"False",0,-21.1694444444444,-13.6244444444444
"249","Evan Turner","POR",65,25.5,-3.04,0.15,0.25," SG",-2.89,"Portland Trail Blazers",16393443,"True",1,6.83055555555556,3.97555555555556
"250","Shelvin Mack","UTAH",55,21.9,-1.51,-1.28,0.25," PG",-2.79,"Utah Jazz",2433334,"True",1,-3.16944444444444,0.375555555555554
"251","Miles Plumlee","MIL/CHA",45,10.8,-2.79,0.52,0.25," C",-2.27,"Charlotte Hornets",12500000,"True",1,-13.1694444444444,-10.7244444444444
"252","Dante Exum","UTAH",66,18.6,-2.14,-0.65,0.25," PG",-2.79,"Utah Jazz",3940320,"True",1,7.83055555555556,-2.92444444444444
"253","Adreian Payne","MIN",18,7.5,-1.69,1.36,0.24," PF",-0.33,"Minnesota Timberwolves",2022240,"False",0,-40.1694444444444,-14.0244444444444
"254","Rodney Stuckey","IND",39,17.8,-1.66,-0.91,0.23," PG",-2.57,"Indiana Pacers",7e+06,"False",0,-19.1694444444444,-3.72444444444444
"255","Marshall Plumlee","NY",21,8.1,-1.75,0.65,0.22," C",-1.1,"New York Knicks",1312611,"False",0,-37.1694444444444,-13.4244444444444
"256","Monta Ellis","IND",74,27,-1.32,-1.64,0.21," SG",-2.96,"Indiana Pacers",10763500,"True",1,15.8305555555556,5.47555555555556
"257","Pat Connaughton","POR",39,8.1,-1.28,-0.79,0.21," SG",-2.07,"Portland Trail Blazers",1471382,"False",0,-19.1694444444444,-13.4244444444444
"258","Chasson Randle","NY/PHI",26,11.5,-0.74,-1.36,0.2," PG",-2.1,"New York Knicks",1312611,"False",0,-32.1694444444444,-10.0244444444444
"259","Rakeem Christmas","IND",29,7.6,-2.2,0.5,0.2," PF",-1.7,"Indiana Pacers",1471382,"False",0,-29.1694444444444,-13.9244444444444
"260","Kyle Singler","OKC",32,12,-3.25,0.9,0.19," SF",-2.35,"Oklahoma City Thunder",4837500,"False",0,-26.1694444444444,-9.52444444444444
"261","Anthony Bennett","BKN",23,11.5,-0.76,-1.29,0.19," PF",-2.05,"Brooklyn Nets",1015696,"False",0,-35.1694444444444,-10.0244444444444
"262","Malcolm Delaney","ATL",73,17.1,-2.64,-0.25,0.18," G",-2.89,"Atlanta Hawks",2500000,"True",1,14.8305555555556,-4.42444444444444
"263","Malik Beasley","DEN",22,7.5,-1.74,0.21,0.18," SG",-1.53,"Denver Nuggets",1627320,"False",0,-36.1694444444444,-14.0244444444444
"264","Nick Collison","OKC",20,6.4,-2.18,1.12,0.17," PF",-1.06,"Oklahoma City Thunder",3750000,"False",0,-38.1694444444444,-15.1244444444444
"265","Zach LaVine","MIN",47,37.2,-0.62,-2.35,0.17," PG",-2.97,"Minnesota Timberwolves",2240880,"True",1,-11.1694444444444,15.6755555555556
"266","Mike Miller","DEN",20,7.6,-1.93,0.35,0.16," SG",-1.58,"Denver Nuggets",3500000,"False",0,-38.1694444444444,-13.9244444444444
"267","James Young","BOS",29,7.6,-1.88,-0.28,0.14," SG",-2.16,"Boston Celtics",1825200,"False",0,-29.1694444444444,-13.9244444444444
"268","Christian Wood","CHA",13,8.2,-2.06,0.97,0.13," PF",-1.09,"Charlotte Hornets",874636,"False",0,-45.1694444444444,-13.3244444444444
"269","Treveon Graham","CHA",27,7,-2.19,0.02,0.11," SG",-2.17,"Charlotte Hornets",1312611,"False",0,-31.1694444444444,-14.5244444444444
"270","Noah Vonleh","POR",74,17.1,-4.02,1.03,0.11," PF",-2.99,"Portland Trail Blazers",2751360,"True",1,15.8305555555556,-4.42444444444444
"271","Jared Sullinger","TOR",11,10.7,-2.7,0.9,0.1," C",-1.8,"Toronto Raptors",5628000,"False",0,-47.1694444444444,-10.8244444444444
"272","Henry Ellenson","DET",19,7.7,-2.32,0.38,0.1," F",-1.94,"Detroit Pistons",1704120,"False",0,-39.1694444444444,-13.8244444444444
"273","Udonis Haslem","MIA",16,8.1,-2.79,0.73,0.09," PF",-2.06,"Miami Heat",4e+06,"False",0,-42.1694444444444,-13.4244444444444
"274","Tiago Splitter","PHI",8,9.5,-1.97,0.69,0.09," C",-1.28,"Philadelphia 76ers",8550000,"False",0,-50.1694444444444,-12.0244444444444
"275","Malachi Richardson","SAC",22,9,-2.29,-0.14,0.09," SG",-2.43,"Sacramento Kings",1439800,"False",0,-36.1694444444444,-12.5244444444444
"276","Malachi Richardson","SAC",22,9,-2.29,-0.14,0.09," SG",-2.43,"Sacramento Kings",1504560,"False",0,-36.1694444444444,-12.5244444444444
"277","Leandro Barbosa","PHX",67,14.4,-1.5,-1.5,0.08," SG",-3,"Phoenix Suns",4e+06,"True",1,8.83055555555556,-7.12444444444444
"278","Alonzo Gee","DEN",13,6.8,-2.11,0.43,0.08," SF",-1.68,"Denver Nuggets",57672,"False",0,-45.1694444444444,-14.7244444444444
"279","Ryan Kelly","ATL",16,6.9,-1.94,1.45,0.08," PF",-0.49,"Atlanta Hawks",1577230,"False",0,-42.1694444444444,-14.6244444444444
"280","Anthony Brown","NO/ORL",11,14.5,-1.42,-0.34,0.08," SF",-1.76,"Orlando Magic",57672,"False",0,-47.1694444444444,-7.02444444444444
"281","Johnny O'Bryant III","DEN/CHA",11,7.3,-1.92,0.3,0.08," PF",-1.62,"Charlotte Hornets",1524305,"False",0,-47.1694444444444,-14.2244444444444
"282","Georgios Papagiannis","SAC",22,16.1,-2.47,-0.3,0.08," C",-2.77,"Sacramento Kings",2202240,"False",0,-36.1694444444444,-5.42444444444444
"283","Maurice Ndour","NY",32,10.3,-1.94,-0.37,0.07," SF",-2.31,"New York Knicks",543471,"False",0,-26.1694444444444,-11.2244444444444
"284","Dejounte Murray","SA",38,8.5,-1.97,-0.83,0.07," G",-2.8,"San Antonio Spurs",1312611,"False",0,-20.1694444444444,-13.0244444444444
"285","Spencer Hawes","MIL/CHA",54,14.8,-2.13,-0.87,0.06," PF",-3,"Charlotte Hornets",6348759,"True",1,-4.16944444444444,-6.72444444444444
"286","Josh McRoberts","MIA",22,17.3,-2.87,-0.01,0.06," PF",-2.88,"Miami Heat",5782450,"False",0,-36.1694444444444,-4.22444444444444
"287","Jordan Hill","MIN",7,6.7,-2.31,1.16,0.06," C",-1.15,"Minnesota Timberwolves",4e+06,"False",0,-51.1694444444444,-14.8244444444444
"288","Mike Scott","ATL",18,10.8,-2.92,0.26,0.06," PF",-2.66,"Atlanta Hawks",3333334,"False",0,-40.1694444444444,-10.7244444444444
"289","Jarell Eddie","PHX",5,12.4,-2.31,0.62,0.06," SG",-1.69,"Phoenix Suns",57672,"False",0,-53.1694444444444,-9.12444444444444
"290","Kris Dunn","MIN",78,17.1,-2.64,-0.41,0.06," PG",-3.05,"Minnesota Timberwolves",3872520,"True",1,19.8305555555556,-4.42444444444444
"291","Wayne Selden","NO/MEM",14,16.9,-2.44,-0.28,0.06," G",-2.72,"Memphis Grizzlies",1312611,"False",0,-44.1694444444444,-4.62444444444445
"292","Ed Davis","POR",46,17.2,-2.96,-0.06,0.05," PF",-3.02,"Portland Trail Blazers",6666667,"True",1,-12.1694444444444,-4.32444444444445
"293","Ramon Sessions","CHA",50,16.2,-1.65,-1.4,0.04," PG",-3.05,"Charlotte Hornets",6e+06,"True",1,-8.16944444444444,-5.32444444444445
"294","Bruno Caboclo","TOR",9,4.4,-1.76,0.11,0.04," SF",-1.65,"Toronto Raptors",1589640,"False",0,-49.1694444444444,-17.1244444444444
"295","Boris Diaw","UTAH",73,17.6,-2.58,-0.5,0.03," C",-3.08,"Utah Jazz",7e+06,"True",1,14.8305555555556,-3.92444444444444
"296","Jarrett Jack","NO",2,16.5,-1.85,0.01,0.03," PG",-1.84,"New Orleans Pelicans",57672,"False",0,-56.1694444444444,-5.02444444444444
"297","Greivis Vasquez","BKN",3,13,-1.77,-0.38,0.03," PG",-2.15,"Brooklyn Nets",4347826,"False",0,-55.1694444444444,-8.52444444444444
"298","Timofey Mozgov","LAL",54,20.4,-4.02,0.93,0.03," C",-3.09,"Los Angeles Lakers",1.6e+07,"True",1,-4.16944444444444,-1.12444444444445
"299","Lamar Patterson","ATL",5,8,-2.23,0.62,0.03," SG",-1.61,"Atlanta Hawks",246956,"False",0,-53.1694444444444,-13.5244444444444
"300","Mike Tobey","CHA",2,12.5,-1.91,0.99,0.03," C",-0.92,"Charlotte Hornets",67135,"False",0,-56.1694444444444,-9.02444444444444
"301","Jordan Mickey","BOS",25,5.6,-2.62,-0.15,0.03," PF",-2.77,"Boston Celtics",1471382,"False",0,-33.1694444444444,-15.9244444444444
"302","Jerryd Bayless","PHI",3,23.7,-2.23,-0.47,0.02," PG",-2.7,"Philadelphia 76ers",9424084,"False",0,-55.1694444444444,2.17555555555555
"303","Pierre Jackson","DAL",8,10.5,-0.96,-0.76,0.02," PG",-1.72,"Dallas Mavericks",31969,"False",0,-50.1694444444444,-11.0244444444444
"304","Jake Layman","POR",35,7.1,-2.99,-0.03,0.02," F",-3.02,"Portland Trail Blazers",1312611,"False",0,-23.1694444444444,-14.4244444444444
"305","Jarell Martin","MEM",42,13.3,-4.23,1.17,0.02," PF",-3.06,"Memphis Grizzlies",1471382,"True",1,-16.1694444444444,-8.22444444444444
"306","John Lucas III","MIN",5,2.2,-1.3,-0.61,0.01," PG",-1.91,"Minnesota Timberwolves",980431,"False",0,-53.1694444444444,-19.3244444444444
"307","Quincy Acy","DAL/BKN",38,14.7,-2.38,-0.21,0.01," SF",-2.59,"Brooklyn Nets",1790092,"False",0,-20.1694444444444,-6.82444444444445
"308","CJ Wilcox","ORL",22,4.9,-2.55,-0.4,0.01," SG",-2.95,"Orlando Magic",1209600,"False",0,-36.1694444444444,-16.6244444444444
"309","Brice Johnson","LAC",3,3,-2.32,1.08,0.01," F",-1.24,"LA Clippers",1331160,"False",0,-55.1694444444444,-18.5244444444444
"310","R.J. Hunter","CHI",3,3,-1.38,-0.73,0.01," SG",-2.11,"Chicago Bulls",864346,"False",0,-55.1694444444444,-18.5244444444444
"311","Demetrius Jackson","BOS",5,3.4,-1.77,-0.3,0.01," G",-2.07,"Boston Celtics",1450000,"False",0,-53.1694444444444,-18.1244444444444
"312","Demetrius Jackson","BOS",5,3.4,-1.77,-0.3,0.01," G",-2.07,"Boston Celtics",1384750,"False",0,-53.1694444444444,-18.1244444444444
"313","Aaron Harrison","CHA",5,3.4,-1.42,-0.32,0.01," SG",-1.74,"Charlotte Hornets",874636,"False",0,-53.1694444444444,-18.1244444444444
"314","Diamond Stone","LAC",7,3.4,-2.77,0.49,0.01," C",-2.28,"Atlanta Hawks",1312611,"False",0,-51.1694444444444,-18.1244444444444
"315","Deyonta Davis","MEM",36,6.6,-2.88,-0.24,0," F",-3.12,"Memphis Grizzlies",1369299,"False",0,-22.1694444444444,-14.9244444444444
"316","Deyonta Davis","MEM",36,6.6,-2.88,-0.24,0," F",-3.12,"Memphis Grizzlies",1312611,"False",0,-22.1694444444444,-14.9244444444444
"317","Briante Weber","GS/CHA",20,10.3,-2.02,-1.29,-0.02," PG",-3.31,"Charlotte Hornets",1471382,"False",0,-38.1694444444444,-11.2244444444444
"318","Marcelo Huertas","LAL",23,10.3,-2.17,-1.25,-0.05," PG",-3.42,"Los Angeles Lakers",1500000,"False",0,-35.1694444444444,-11.2244444444444
"319","Marcelo Huertas","LAL",23,10.3,-2.17,-1.25,-0.05," PG",-3.42,"Houston Rockets",1500000,"False",0,-35.1694444444444,-11.2244444444444
"320","DeAndre' Bembry","ATL",38,9.8,-2.72,-0.67,-0.05," SF",-3.39,"Atlanta Hawks",1499760,"False",0,-20.1694444444444,-11.7244444444444
"321","DeAndre' Bembry","ATL",38,9.8,-2.72,-0.67,-0.05," SF",-3.39,"Atlanta Hawks",1567200,"False",0,-20.1694444444444,-11.7244444444444
"322","Aaron Brooks","IND",65,13.8,-1.81,-1.47,-0.09," PG",-3.28,"Indiana Pacers",2700000,"True",1,6.83055555555556,-7.72444444444444
"323","Buddy Hield","NO/SAC",82,23,-0.92,-2.28,-0.09," SG",-3.2,"Sacramento Kings",3517200,"True",1,23.8305555555556,1.47555555555556
"324","Alec Burks","UTAH",42,15.5,-2.47,-0.94,-0.12," SG",-3.41,"Utah Jazz",10154495,"True",1,-16.1694444444444,-6.02444444444444
"325","Troy Williams","HOU/MEM",30,18.6,-3.06,-0.45,-0.14," SF",-3.51,"Houston Rockets",1575133,"False",0,-28.1694444444444,-2.92444444444444
"326","Jonathan Gibson","DAL",17,13.6,-1.95,-2.16,-0.15," PG",-4.11,"Dallas Mavericks",469943,"False",0,-41.1694444444444,-7.92444444444445
"327","Jamal Crawford","LAC",82,26.3,-0.06,-3.18,-0.16," SG",-3.24,"LA Clippers",13253012,"True",1,23.8305555555556,4.77555555555556
"328","Jeff Green","ORL",69,22.2,-2.03,-1.31,-0.21," SF",-3.34,"Orlando Magic",1.5e+07,"True",1,10.8305555555556,0.675555555555555
"329","Jaylen Brown","BOS",78,17.2,-2.95,-0.42,-0.21," F",-3.37,"Boston Celtics",4743000,"True",1,19.8305555555556,-4.32444444444445
"330","Bryn Forbes","SA",36,7.9,-2.78,-1.62,-0.22," SG",-4.4,"San Antonio Spurs",1312611,"False",0,-22.1694444444444,-13.6244444444444
"331","Andrew Nicholson","BKN/WSH",38,9,-3.54,-0.67,-0.23," PF",-4.21,"Washington Wizards",6088993,"False",0,-20.1694444444444,-12.5244444444444
"332","Dragan Bender","PHX",43,13.3,-3.2,-0.68,-0.28," PF",-3.88,"Phoenix Suns",4276320,"True",1,-15.1694444444444,-8.22444444444444
"333","Chandler Parsons","MEM",34,19.9,-3.51,-0.33,-0.29," SF",-3.84,"Memphis Grizzlies",22116750,"False",0,-24.1694444444444,-1.62444444444445
"334","Kevin Seraphin","IND",49,11.4,-2.94,-1.07,-0.31," C",-4.01,"Indiana Pacers",1800000,"True",1,-9.16944444444444,-10.1244444444444
"335","Justise Winslow","MIA",18,34.7,-4.08,0.16,-0.31," SF",-3.92,"Miami Heat",2593440,"False",0,-40.1694444444444,13.1755555555556
"336","Rashad Vaughn","MIL",41,11.2,-3.44,-0.89,-0.35," SG",-4.33,"Milwaukee Bucks",1811040,"True",1,-17.1694444444444,-10.3244444444444
"337","Reggie Jackson","DET",52,27.4,-0.59,-2.94,-0.36," PG",-3.53,"Detroit Pistons",14956522,"True",1,-6.16944444444444,5.87555555555555
"338","Isaiah Canaan","CHI",39,15.2,-3,-1.12,-0.37," PG",-4.12,"Chicago Bulls",1015696,"False",0,-19.1694444444444,-6.32444444444445
"339","Cameron Payne","CHI/OKC",31,14.9,-4.14,-0.31,-0.39," PG",-4.45,"Oklahoma City Thunder",2112480,"False",0,-27.1694444444444,-6.62444444444444
"340","Brandon Rush","MIN",47,21.9,-3.13,-0.73,-0.48," SG",-3.86,"Minnesota Timberwolves",3500000,"True",1,-11.1694444444444,0.375555555555554
"341","Justin Anderson","DAL/PHI",75,16.4,-1.36,-2.54,-0.59," SG",-3.9,"Philadelphia 76ers",1514160,"True",1,16.8305555555556,-5.12444444444445
"342","Shabazz Muhammad","MIN",78,19.4,-0.56,-3.19,-0.6," SF",-3.75,"Minnesota Timberwolves",3046299,"True",1,19.8305555555556,-2.12444444444445
"343","Marcus Thornton","WSH",33,17.4,-1.64,-3.31,-0.66," SG",-4.95,"Brooklyn Nets",980431,"False",0,-25.1694444444444,-4.12444444444445
"344","Wade Baldwin IV","MEM",33,12.3,-4.36,-1.43,-0.67," PG",-5.79,"Memphis Grizzlies",1793760,"False",0,-25.1694444444444,-9.22444444444444
"345","Emmanuel Mudiay","DEN",55,25.6,-1.52,-2.38,-0.71," PG",-3.9,"Denver Nuggets",3241800,"True",1,-3.16944444444444,4.07555555555556
"346","Marquese Chriss","PHX",82,21.3,-1.96,-1.82,-0.76," F",-3.78,"Phoenix Suns",2941440,"True",1,23.8305555555556,-0.224444444444444
"347","Randy Foye","BKN",69,18.6,-2.7,-1.42,-0.85," SG",-4.12,"Brooklyn Nets",2500000,"True",1,10.8305555555556,-2.92444444444444
"348","Gerald Henderson","PHI",72,23.2,-1.51,-2.42,-0.87," SG",-3.93,"Philadelphia 76ers",9e+06,"True",1,13.8305555555556,1.67555555555555
"349","Lance Thomas","NY",46,21,-2.87,-1.73,-0.91," SF",-4.6,"New York Knicks",6191000,"True",1,-12.1694444444444,-0.524444444444445
"350","Trey Burke","WSH",57,12.3,-2.15,-3.09,-0.92," PG",-5.24,"Washington Wizards",3386598,"True",1,-1.16944444444444,-9.22444444444444
"351","Ben McLemore","SAC",61,19.3,-2.88,-1.58,-0.99," SG",-4.46,"Sacramento Kings",4008882,"True",1,2.83055555555556,-2.22444444444444
"352","Bojan Bogdanovic","BKN/WSH",81,25.7,-0.46,-3.42,-1.04," SG",-3.88,"Washington Wizards",3730653,"True",1,22.8305555555556,4.17555555555555
"353","Arron Afflalo","SAC",61,25.9,-1.43,-2.85,-1.12," SG",-4.28,"Sacramento Kings",12500000,"True",1,2.83055555555556,4.37555555555555
"354","Doug McDermott","CHI/OKC",66,22.8,-0.61,-3.92,-1.33," SF",-4.53,"Oklahoma City Thunder",2483040,"True",1,7.83055555555556,1.27555555555556
"355","Jordan Clarkson","LAL",82,29.2,-0.63,-3.39,-1.4," PG",-4.02,"Los Angeles Lakers",12500000,"True",1,23.8305555555556,7.67555555555555
"356","Brandon Knight","PHX",54,21.1,-2.24,-3.08,-1.63," PG",-5.32,"Phoenix Suns",12606250,"True",1,-4.16944444444444,-0.424444444444443
"357","D.J. Augustin","ORL",78,19.7,-1.53,-3.4,-1.74," PG",-4.93,"Orlando Magic",7250000,"True",1,19.8305555555556,-1.82444444444445
"358","Jahlil Okafor","PHI",50,22.7,-4.43,-1.26,-1.85," C",-5.69,"Philadelphia 76ers",4788840,"True",1,-8.16944444444444,1.17555555555555
"359","Mario Hezonja","ORL",65,14.8,-4.4,-2.2,-2.09," SG",-6.6,"Orlando Magic",3909840,"True",1,6.83055555555556,-6.72444444444444
"360","Brandon Ingram","LAL",79,28.8,-1.76,-2.93,-2.32," F",-4.69,"Los Angeles Lakers",5281680,"True",1,20.8305555555556,7.27555555555556
